根据startDate和endDate计算workingDays, calculateWorkingDays
由管理设备的应用程序调用以设置允许的最小密码长度,set password minimum length
测试字符串是否标准化,quick check
"方便替换 , en , "" "" , 0 , 0",delete
以字符形式返回此事件，如果此事件不是字符，则可能导致类强制转换异常。,asCharacters
通知所有已注册此事件类型通知兴趣的监听器,fireTreeWillCollapse
控制列表是否显示,set list shown
获取可搜索属性中指定的输入法选项,get ime options
当传感器附加信息帧可用时调用,on sensor additional info
膨胀标题视图并添加到父级,install title view
将对象写入到当前数据位置的包中，如果需要则增加数据容量,write strong interface
从模型中删除项目。,removeElement
当发出发起新呼叫的请求时调用,on calling
获取元键的状态,get meta state
返回该对象所属应用程序的包名称,get application package
用于指示在触发事件期间是否按下了“ctrl”键。,getCtrlKey
根据参数enable的值启用或禁用此输入法进行组合,setCompositionEnabled
相对批量 放置方法 （可选操作） 。,put
返回选中时显示的摘要,get summary on
返回mtp对象的序列号，该字段通常不用于mtp设备，但有时用于定义ptp相机上的照片序列,get sequence number long
返回包含此集合中所有元素的数组，使用提供的 generator函数分配返回的数组。,toArray
返回设备的产品 ID,get product id
将此事件作为结束元素事件返回，如果此事件不是结束元素，则可能导致类强制转换异常。,asEndElement
如果文件下载成功，则返回给定下载文件 id 的 uri,get uri for downloaded file
实现只是为了跟踪我们何时设置来自客户端的文本与,set extracted text
请求播放器暂停播放并停留在当前位置,pause
补充此集合中指定集合中包含的所有元素,complement all
返回此弹簧的首选值,getPreferredValue
从包中检索 xml 文件,get xml
覆盖onSetVolumeTo以处理设置当前output音量请求,onSetVolumeTo
notifyDetailsChanged通知连续media item详情变化并触发UI更新,notifyDetailsChanged
检查此Preference是否可list选中,isSelectable
当child call需swap时调用,onSwap
若此collection包含给定collection的一个或多个字符/字符串返回true,containsSome
覆盖calendar把闰月加进field resolution table,getFieldResolutionTable
读取char值的绝对get方法,getChar
把给定key的entry以object返回,get
获取与此对象关联的accessible value若存在,createDefaultRenderers
计算需预加载的wider item以实现更平滑scroll,extendRangeInto
获取任意unit尺寸height,getHeight
把一串char写至stream当前位置,writeChars
为当前UI对象下的child view新建UI对象,getChild
relative bulk put方法,put
返回左侧system window inset像素,getSystemWindowInsetLeft
供自定义window如dialog把key event沿view hierarchy继续传递,superDispatchKeyEvent
按给定layer id查找layer并返回drawable,findDrawableByLayerId
当dependency变化时调用,onDependencyChanged
把给定data子集的helper加入代理配置,addHelper
已过时,getName
查询指定account是否具备所有指定feature,hasFeatures
返回此view的全宽measure信息,getMeasuredWidthAndState
允许指定address family流量,allowFamily
返回给定index处attribute的XML type,getAttributeType
在工作线程load并返回load结果,loadInBackground
从此RecyclerView移除RecyclerView.ItemDecoration,removeItemDecoration
编码key-value并追加到query string,appendQueryParameter
拖动的mouse进入menu组件显示区域时调用,menuDragMouseEntered
从measure spec提取mode,getMode
把double值写入output stream共4字节,writeDouble
若此node为range则获取range info,getRangeInfo
设置edit text下方显示的错误消息,setError
返回major tick间距,getMajorTickSpacing
移除array set中存在于给定集合的所有值,removeAll
获取parent,getParent
打开GattServer并通过callback把连接状态及操作结果传回调用者,openGattServer
已弃用,setPrincipal
返回给定time field值,internalGet
返回look&feel默认值,getDefaults
把breadcrumb attach到对应activity,setActivity
请求P2P group信息,requestGroupInfo
添加media route时触发,onRouteAdded
此方法将view的y属性animate到指定值,y
包含真实UI的Vector,uis
创建含外部app特定数据的NDEF record,createExternal
设置sync source,setSyncSource
将cursor重置到string开头,reset
设置此preference相对同层级的order,setOrder
发送请求获取media item状态,getStatus
返回getChildView将创建的child view type数量,getChildTypeCount
获取此map列数,getColumnCount
poll并返回deque头部元素，必要等待,poll
返回给定column值的数据type,getType
获取empty AttributeSet,getEmptySet
返回表示object指定selected child的Accessible,getAccessibleSelection
设置view不滚动时scrollbar是否fade,setScrollbarFadingEnabled
判断date/time解释是否宽松,isLenient
把指定segment放入jet queue,queueJetSegment
创建新的pixel element type,createPixel
指定stub view可见/不可见或inflate时要inflate的layout,setLayoutResource
查询framework确认已连键盘能否产生给定key codes,deviceHasKeys
由restriction provider调用向app提供响应,notifyPermissionResponse
设置此ViewGroup是否忽略自身及child的focus请求,setTouchscreenBlocksFocus
返回此rule类的默认log文件名,getDefaultLogFileName
返回modifier key状态,getModifiers
默认实现rewind parcel并call transact,transact
clipboard manager在主clip变化时调用此callback,onPrimaryClipChanged
从UUID字符串表示创建新的ParcelUuid,fromString
连接此service时调用,onConnected
ICC profile颜色空间type signature 'ECLR',icSigSpaceECLR
字符内容序列当前长度,length
返回divider size像素,getDividerSize
复数格式暂不支持此方法,parseObject
获取与MediaBrowser关联的media session token,getSessionToken
当FAB被隐藏时调用,onHidden
设置向此view提供数据的adapter,setAdapter
从给定attribute提取layout params,setBaseAttributes
返回此Calendar对象calendar type名,getType
返回描述网络类型的可读名如"wifi"/"mobile",getTypeName
选中行或新item时调用,onItemSelected
设置group cursor,setGroupCursor
dspr2执行对称rank-2运算,dspr2
停止语音识别,stopListening
沿view hierarchy向下dispatch visibility变化,dispatchVisibilityChanged
若reader activity由多intent action启动返回true,isMultipleShare
返回flag字符串表示,flagToString
暂时ignore该请求,ignore
把0-based索引的address line设为给定string,setAddressLine
设置是否为ongoing notification,setOngoing
popup menu将不可见前调用,popupMenuWillBecomeInvisible
应在maximizeFrame()前restore frame大小位置,minimizeFrame
参见setuid2,setuid
创建与JS通信的message channel并返回message port端点,createWebMessageChannel
返回分隔符的尺寸,getSeparatorSize
获取生产者发布给定索引处的帧的时间，例如,get frame posted time nano
返回与此对象具有相同类型的对象，并添加指定的句点。,plus
边界插入。,borderInsets
获取在文件方案 url 上下文中运行的 java 脚本是否可以访问其他文件方案 ur ls 的内容,get allow file access from file url s
将此 DataSource对象的日志 DataSource设置为给定的 java.io.PrintWriter对象。,setLogWriter
设置是否在操作栏中包含应用程序家庭可供性,set display show home enabled
如果路由正在连接且尚未准备好使用，则返回 true,is connecting
设置股票代码字符序列的过时版本,set ticker
返回一组修饰符，这些修饰符与按键结合触发此快捷键,get modifiers
此转换是否表示本地时间线的重叠。,isOverlap
将32位的 v写入流。,writeInt
当识别结果准备好时，服务应该调用此方法,results
加载用户在设置中设置的自定义标签,load custom label
覆盖源图像的尺寸，并将矩形裁剪区域的尺寸传递给图像消费者,setDimensions
更改视图在树中的 z 顺序，使其位于其他同级视图之上,bring to front
返回 sym 元键的按下状态,is sym pressed
返回支持此缓冲区的char数组 （可选操作） 。,array
重置计时器,reset
设置从先前启动的活动返回时用于将视图移动到场景中的过渡,set reenter transition
处理滚动以响应向上或向下箭头单击,arrow scroll
在 BufferedImage上执行单输入/单输出操作。,filter
开始生成过滤后的图像,startProduction
在该设备的端点 0 上执行控制事务,control transfer
从输入流中读取一些字节并将它们存储到缓冲区数组 b 中,read
填充覆盖指定矩形的圆形或椭圆形弧,fillArc
返回所有查询参数的唯一名称集,get query parameter names
设置在选择项目时运行的任务，null 表示没有任务,set item task
从输入流创建可绘制对象,create from stream
判断该路由的目的地址和前缀是否包含指定地址,matches
指定 bidi 格式化程序使用的默认方向性估计算法,set text direction heuristic
设置通用运动拦截侦听器,set on motion intercept listener
设置是否应启用应用程序缓存 api,set app cache enabled
结果保证包含 locale.get default 返回的默认区域设置，但不一定位于列表顶部,get default
单击对话框中的项目时将调用此方法,on click
生成此 Struct对象表示的SQL结构类型的属性的有序值。,getAttributes
从文件描述符加载声音,load
允许指定的来源使用地理定位 api,allow
通过调用底层 BeanContextServiceProvider上的releaseService（），释放 BeanContextChild （或与BeanContextChild关联的任意对象）对指定服务的 BeanContextServiceProvider 。,releaseService
返回以帧表示的标记位置,get notification marker position
将此 RowSet对象命令中的指定参数设置为给定的 java.math.BigDecimal值。,setBigDecimal
cgeru 执行排名 1 操作 a := alphaxyt + a 细节 :,cgeru
将消息文本分成多个片段，每个片段都不大于最大短信大小,divide message
复制另一个指针属性对象的内容,copy from
返回一个新的中断迭代器实例，用于定位标题边界,get title instance
添加指定的焦点侦听器以从此组件接收焦点事件。,addFocusListener
分配一个新的int缓冲区。,allocate
使用指定比例预连接矩阵,pre scale
ICC配置文件标题位置：配置文件创建者。,icHdrCreator
获取当前视图的指针图标,get pointer icon
通知此处于振铃状态的连接拒绝请求,on reject
已过时。 没有替代品,getResultStream
确定在检索或添加属性时属性集是否忽略属性标识符的大小写。,isCaseIgnored
查找当前视图层次结构中的最顶层视图,get root view
请求最后点击点的锚点或图像元素 url,request focus node href
忘记保存的密码,clear password
将此链接地址实例与 obj 进行比较,equals
返回用于表示滚动滑块的可绘制组件 - 用户可以来回拖动的组件，通过其位置指示当前值,get thumb
返回模型的当前值。,getValue
用于设置标志、设置或清除过滤器位图标志位的助手,set filter bitmap
确定是否启用此输入方法。,isCompositionEnabled
设置可绘制对象（如果有）显示在文本的开头、上方、结尾和下方,set compound drawables relative
用于输出的字符编码。,getEncoding
检索指定索引处卫星天线处的载噪比（以分贝赫兹为单位）,get cn 0 db hz
将ibinder值插入到该bundle的映射中，替换给定键的任何现有值,put binder
用于同时测试 equals 和 hash code 结果的实用程序,check equals and hash code methods
应该调用而不是添加内容视图 android.view.view ， android.view.viewgroup.layoutparams,add content view
如果可能的话，返回描述的可编辑版本的便捷方法，如果描述视图不是编辑文本，则返回 null 。,get editable description view
对来自bottomboolean的设置堆栈的兼容性支持,set stack from end
检索LDAP扩展操作请求的ASN.1 BER编码值。,getEncodedValue
相对于DOM实现的客户区域发生事件的垂直坐标。,getClientY
以 java.sql.Time对象的形式检索指定的JDBC TIME参数的值。,getTime
返回s1+s2：代表s1和s2串联的弹簧,sum
当此远程连接请求回铃时调用,on ringback requested
删除此list指定position元素,remove
获取MAC对象,getMac
返回按字典序比较并提取Comparable排序键的Comparator,thenComparing
把指定onboarding step fragment作为Activity root添加无back stack,addAsRoot
比较此ShapeGraphicAttribute与指定对象,equals
设置query text field的inputType,setInputType
当点击触发且伴随up motion event时收到通知,onSingleTapUp
设置drawable相对text四周显示,setCompoundDrawablesRelativeWithIntrinsicBounds
设置当前volume并通知系统volume已改,setCurrentVolume
设定serialVersionUID表示序列化兼容性,serialVersionUID
返回带profile badge的activity icon,getBadgedIcon
向用户显示PreferenceFragment,startPreferenceFragment
设置此key是否在指纹注册时失效,setInvalidatedByBiometricEnrollment
获取此conference的children,getChildren
注销Subject,logout
返回给定经纬度周围已知地址数组,getFromLocation
启用或禁用数据库write-ahead logging,setWriteAheadLoggingEnabled
创建Camera对象访问特定硬件camera,open
将此record intent标记为verified,markAsVerified
把传入byte像素合并到累积数组并发送完成行平均数据,setPixels
重置iterator从Integer.MIN_VALUE或之前setRange的x开始,reset
处理meta key释放,handleKeyUp
查看onOrientationChanged描述,onOrientationChanged
restore调用栈到指定save计数,restoreToCount
在annotation中访问double值,visitDouble
获取此对象最大值,getMaximumAccessibleValue
给指定class设置Presenter,addClassPresenter
若可能用附加启动信息启动activity,startActivity
属性值以字符串返回,getValue
返回adapter中给定key索引,indexOf
设置XML standalone属性,setXmlStandalone
返回此Executable返回类型,getReturnType
设置view scroll位置,scrollTo
恢复时fragment专用回调,onResumeFragments
返回软键盘显示模式,getShowMode
把值表示绘制到屏幕给定区域,paintValue
把parameterIndex参数注册为JDBC sqlType,registerOutParameter
获取当前discovery request,getDiscoveryRequest
获取此URI scheme,getScheme
检查是否存在不受支持关键扩展,hasUnsupportedCriticalExtension
用此UI selector在accessibility hierarchy查找匹配节点,findAccessibilityNodeInfo
返回annotation字符串,toString
通知listener由于margin变化列已移动,columnMarginChanged
获取WebView是否显示缩放控件,getDisplayZoomControls
获取此link的DNS域搜索路径,getDomains
从channel读byte序列到给定buffer,read
当app请求暂停播放时调用,onTimeShiftPause
返回所有已注册idle resource列表,getIdlingResources
从NotificationCompat.WearableExtender设置custom size preset,setCustomSizePreset
恢复active notification列表,getActiveNotifications
返回component包名,getPackageName
此notation的public ID,getPublicId
运行当前单元测试,runTest
已弃用，用setViewProtectionMode代替,setViewProtection
index0后intervalAdded,index1 interval已插入模型,intervalAdded
设置view视觉x位置像素,setX
长按key时调用,onLongPress
开始编码新对象,beginObject
RGB转HSV,RGBtoHSV
获取与getType相关的submessage ID,getSubmessageId
设置content recommendation关联content type,setContentTypes
获取URI encoded fragment,getEncodedFragment
读8字节返回double,readDouble
启动与指定config设备的P2P连接,connect
当前选中行变化时重绘更新视图,onSetRowStatus
获取intent对应component,getComponent
设置view围绕pivot沿y方向scale比例,setScaleY
返回IME服务原始信息,getServiceInfo
获取搜索建议selection,getSuggestSelection
设置pitch factor,setPitch
已弃用,checkPermission
获取当前white balance设置,getWhiteBalance
返回"major.minor.milli.micro"格式版本信息,toString
用给定name把value对象绑定到session应用层数据,putValue
在annotation中访问float,visitFloat
保存WebView状态,saveState
provider被用户禁用时调用,onProviderDisabled
view绕pivot旋转度数,getRotation
把插入位置设为指定index,setDot
以boolean获取JDBC BIT/BOOLEAN参数,getBoolean
若keyCode是gamepad按钮返回true,isGamepadButton
把右侧usage stat加到左侧,add
已弃用,getLoggerLevel
返回描述自startTime起经过时间的字符串,getRelativeTimeSpanString
返回此view占用span数,getSpanSize
清空窗口内容以便安全复用,clear
若getStyle为斜体返回true,isItalic
返回initial delay,getInitialDelay
重启进入recovery擦除cache分区,rebootWipeCache
从BoundedRangeModel返回slider最大值,getMaximum
格式化BigDecimal便捷方法,format
若对象有valid surface返回true,isValid
获取附加参数,getParams
设置activity返回给caller的结果,setResult
用指定协议创建URLStreamHandler,createURLStreamHandler
不应使用此重载，用setAdapter(ExpandableListAdapter),setAdapter
检查此Period与另一Period相等,equals
返回locale本地化variant,getDisplayVariant
用java.sql.Timestamp设置RowSet参数,setTimestamp
指示最佳row ID范围仅在使用时持久,bestRowTemporary
从节点提取数据子串,substringData
设置view enabled状态,setEnabled
设置通过instance number匹配widget的搜索条件,instance
请求启动voice交互activity,startVoiceActivity
设置button pressed状态,setPressed
用给定resource设置背景,setBackgroundResource
添加listener接收对指定target对象filter变更的命名事件,addNamingListener
请求route增量更新,onUpdateVolume
包含真实UI的Vector,uis
在editor里设long值后commit/apply写入,putLong
给gesture描述添加stroke,addStroke
设置此sequence日期下限,setStart
获取display刷新率fps,getRefreshRate
查询caller是否被授予管理应用限制权限,isCallerApplicationRestrictionsManagingPackage
启用或禁用child shadow,setShadowEnabled
获取是否允许未注册参数,getAllowUnregisteredParamaters
全选table所有row/column/cell,selectAll
边界insets,borderInsets
若XML standalone返回true,isStandalone
返回ISO 639-1/639-2/T编码语言,getLanguage
设置save有限child时数量限制,setSaveChildrenLimitNumber
返回Objects.equals测试两参数相等的predicate,isEqual
默认FileProvider自动返回与content:// URI关联的文件描述符,openFile
行选择变化时调用重绘,valueChanged
时间到时触发回调,onFinish
把column及header从columnIndex移到newIndex,moveColumn
获取IP前缀hashCode,hashCode
把intent extras完全替换为给定bundle,replaceExtras
实现这个来处理给定 uri 处数据的 mime 类型的请求,get type
当长按发生并触发它的初始向下运动事件时收到通知,on long press
广告无法启动时的回调,on start failure
确定同步结果是否表明发生硬错误的便捷方法,has hard error
关闭该输入法的软输入区域，将其从显示中删除,request hide self
将地址的特征名称设置为给定的字符串，该字符串可以为空,set feature name
立即更改所选项目，无需动画,set selected position
返回超出范围的名称空间的迭代器。,getNamespaces
在编辑时设置该动作描述的输入类型,description edit input type
实现此接口的节点的字符数据。,setData
从指定时区的系统时钟获取当前日期时间。,now
获取解码后的路径,get path
测试字符是否标准化 - 惰性,is inert
返回此流元素的spliterator。,spliterator
删除子视图并使用给定的回收器回收它,remove and recycle view at
子类使用此方法来确定套件的名称,get suite name
此方法返回一个数组，包含此菜单组件的子菜单组件,getSubElements
此方法将使视图的旋转属性动画化为指定值,rotation
创建 Bonjour 服务信息对象,new instance
返回给定子项的测量宽度，加上项目装饰应用的任何插入的附加大小,get decorated measured width
设置场景模式,set scene mode
检索将启动服务的挂起意图，例如调用 context.start 服务,get service
返回此设备或配置文件所有者设置的允许输入法的列表,get permitted input methods
使用这个图形上下文的当前字体和颜色绘制给定的字符串文本,drawString
获取此字体中任何字符的最大前进宽度,getMaxAdvance
返回一个包含此事件中字符的数组。,getTextCharacters
当会议应从保持状态转为活动状态时调用,on unhold
当孩子请求发送可访问性事件并为其父母提供增强事件的机会时调用,on request send accessibility event
给定 0...size - 1 范围内的索引，返回此稀疏布尔数组存储的第索引键-值映射中的键,key at
将下一个属性作为字节数组写入流中。,writeBytes
设置要在浮动标签中显示的提示（如果启用）,set hint
调用此方法强制视图更新其可绘制状态,refresh drawable state
在某些设备上，前台进程可能有一个或多个专门为其保留的CPU核心。,get exclusive cores
返回过滤器数据权限的迭代器,authorities iterator
构造一个新的选择器并设置长可点击条件,long clickable
准备要添加到组中的首选项,on prepare add preference
模拟短按向下按钮,press dp ad down
模拟短按后退按钮,press back
阻止当前线程的执行并在事件分派线程上输入新的辅助事件循环。,enter
调用它来通知侦听器它被绑定到SSLSession。,valueBound
在创建视图持有者视图组时分配的 view.on 焦点更改侦听器可能会被链接，用户不应在此之后更改 view.on 焦点更改侦听器,on create view holder
"方便调用set功能drawable resourcesint , int",set feature drawable resource
返回本地化的关键字，以便在默认显示区域设置中显示,get display keyword
返回此操作的呈现提示。,getRenderingHints
调用活动的保存实例状态捆绑方法,call activity on save instance state
设置此日历的当前时间与给定日期,set time
设置排序规则元素比较类型,set element comparison type
覆盖此方法以下载收到的 mm ss,on download mms
返回该位置的项目的视图类型，以便进行视图回收,get item view type
设置提供者在收到网络tickle时是否同步,set sync automatically
以立即模式开始交易,begin transaction non exclusive
设置负责渲染指定选项卡标题的组件,configureEnclosingScrollPane
是否允许卡片的高度增加超出卡片布局范围,set expansion enabled
此方法将导致视图的 x 属性按指定值进行动画处理,x by
ztpmv 执行矩阵向量运算之一 x := ax 或 x := atx 或 x := ahx 详细信息： 注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的 1d 分配，下面的子例程可以是一个示例，展示如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',ztpmv
以字符串形式返回此短信的原始地址发件人，如果不可用则返回 null,get originating address
从给定的缓冲区向该通道写入一个字节序列。,write
表示列的类型未知。,procedureColumnUnknown
启用或禁用与所有抽屉的交互,set drawer lock mode
每当列表中的项目被移动时调用,on item range moved
不推荐使用，要删除：此API元素将在以后的版本中删除。,equals
当jet的排队段数更新时的回调,on jet num queued segment update
在指定的 InputSource的上下文中计算XPath表达式，并将结果作为指定的类型返回。,evaluate
返回该剪辑的标签,get label
外部子集的系统标识符。,getSystemId
当用户提供的回调未处理未处理的输入事件时调用,on unhandled input event
删除该位置的海拔高度,remove altitude
指示此远程连接中止,abort
创建服务发现请求以从指定的 bonjour 服务获取 txt 数据,new instance
控制可穿戴列表视图是否应拦截所有触摸事件并阻止父级接收它们,set greedy touch mode
断言指定组的完整性,assert group integrity
返回 item touch helper.callback 类使用的 item touch ui util，用于响应用户交互而在视图上进行视觉更改,get default uiu til
返回一个视图断言，断言显示的视图与给定匹配器匹配的视图完全向左对齐,is left aligned with
检索JDBC的值 DATE参数作为 java.sql.Date对象，使用给定 Calendar对象构造日期。,getDate
从另一个时间对象获得此年表中的本地日期。,date
添加 listener作为模型中更改的侦听器。,addChangeListener
获取源是否可滚动,is scrollable
返回此构建器的上下文,get context
创建新的 gl 上下文时调用,on gl context created
与启动意图发送者意图发送者、意图、int、bundle相同，没有指定选项,start intent sender
开始捕获数据并将数据编码到设置输出文件指定的文件中,start
返回用于打印此JTable的可打印对象,getPrintable
返回文本字符数组中此Text事件的字符序列的长度。,getTextLength
转储基于 ID 的仪器测试生成和可能的进一步数据分析的视图信息,dump captured view
检索应用程序的文本描述,load description
当片段的活动从全屏模式更改为多窗口模式时调用，反之亦然,on multi window mode changed
添加具有指定布局参数的子视图,add view
当列表内容以过于复杂的方式更改而无法使用以前的方法进行表征时发送。,contentsChanged
更改 get Intent 返回的意图,set intent
返回更新行视图激活状态的策略,get sync activate policy
"返回密钥对的类型，例如, ec , 待生成的 rsa",get key type
返回指定索引处的字符串值,getStringValue
根据 view.getvisibility 设置此视图的可见性状态,set visibility
返回此迭代器的基础文本的 java.text.character 迭代器对象,get character iterator
如果样本标志表明当前样本至少部分加密，则此调用返回有关解密所需样本数据结构的相关信息。,get sample crypto info
类似于比较对象，对象，应该比较两个并返回它们应该如何排序,compare
在标签发现时从 atqb / sensb res 返回协议信息字节,get protocol info
返回给定选择器标准是否匹配,has object
返回标志,get flags
设置用于在标题栏中定位文本的重力,set gravity
设置此ABS列表视图以使用远程视图适配器，该适配器通过指定的意图连接到远程视图服务,set remote views adapter
返回一组默认布局参数,generate default layout params
添加一个新的 Instrumentation.activity 监视器，每当活动启动时都会检查该监视器,add monitor
返回具有给定语句的有效脚本语言可执行程序。,getProgram
加载此电视输入的用户显示标签,load label
将字节或字符偏移量返回到此位置指向的输入源。,getCharacterOffset
根据给定的参数创建输入方法事件，并将其分派给客户端组件。,dispatchInputMethodEvent
返回编辑器中包含的值。,getCellEditorValue
读取 len从根据当前字节顺序的流整数（带符号的32位整数），并将其存储到 i开始于索引 off 。,readFully
通过从位图创建新的可绘制对象，并根据资源的显示指标设置初始目标密度，返回一个新的可绘制对象,create
覆盖模板大形式中的内容标题,set big content title
格式化一个大的十进制数,format
将该主题的内容打印到日志中,dump
告诉主机应用程序当前加载页面的进度,on progress changed
获取用于元数据和传输控制的会话,get media session
当内容发生变化时调用此方法,on change
获取适合与全键盘一起使用的侦听器实例,get instance for full keyboard
返回通过addMenuKeyListener添加到此JMenuItem的所有菜单键监听器的数组,getMenuKeyListeners
获取嵌入的行片段，显示多行的详细信息片段,get rows fragment
从index0到index1（含）取消选择行,removeRowSelectionInterval
执行进程的应用程序对象的实例化,new application
如果此操作具有可编辑标题或可编辑描述，则返回,has text editable
deleteint 的别名,remove
断言两个视图顶部对齐，即它们的顶部边缘位于相同的 y 位置,assert top aligned
构造并返回一个在对象值之间进行动画处理的值动画器,of object
获取时区，例如“Europe / Paris”。,getZone
返回给定属性的 unicode 名称，如 unicode 数据库文件 property aliases.txt 中给定的,get property name
当新客户端绑定到输入法时调用,on bind input
每当列表中的一项或多项发生更改时调用,on item range changed
加载此拼写检查器的用户显示标签,load label
将SQL XML值写入流。,writeSQLXML
设置该节点是否可聚焦,set focusable
获取以后脚本点 1 / 72 英寸为单位的页面高度,get page height
指示存储应用程序是否属于此上下文并由受设备保护的存储支持,is device protected storage
呈现突出显示。,paint
保留所有适当的片段和加载器状态,on retain non configuration instance
返回指定标记对象开头的缓冲区偏移量，如果未附加到此缓冲区，则返回 - 1,get span start
设置本次会话使用的评分方式,set rating type
指示是否已选择按钮。,isSelected
获取此事件来自的设备,get device
检索与特定用户 ID 关联的所有包的名称,get packages for uid
按本地名称和名称空间URI检索 Attr节点。,getAttributeNodeNS
返回当前文档事件结束的行号。,getLineNumber
设置概述是否应该是共享元素转换的一部分,set participating entrance transition
将项目触摸助手附加到提供的回收器视图,attach to recycler view
返回滚动中的起始 x 偏移量,get start x
返回此小吃栏当前是否正在显示，或者是否正在排队等待下次显示,is shown or queued
这告诉听众编辑器已取消编辑,editingCanceled
绝对 放法 （可选操作） 。,put
将矩阵 m 绕轴 x 、 y 、 z 旋转角度 a（以度为单位）,rotate m
返回推荐的主要内容类型标记，如果未指定内容类型则返回 null,get primary content type
查询相机设备的功能,get camera characteristics
动画集的持续时间定义为最长子动画的持续时间,get duration
获取当前选定的组或子组的 id,get selected id
从该通道读取一系列字节到给定的缓冲区。,read
接受从类型T中提取排序键的T ，并返回Comparator<T> ，使用指定的Comparator通过该排序键进行比较。,comparing
从以前保存的包中恢复对话框的状态,on restore instance state
如果 直接存在这样的注释，则返回指定类型的此元素的注释，否则返回null。,getDeclaredAnnotation
获取支持的高速视频录制大小的列表,get high speed video sizes
返回此可绘制对象建议的最小宽度,get minimum width
从此属性集中删除所有属性。,clear
设置应检测当前线程上的哪些操作的策略，以及发生此类操作时的惩罚,set thread policy
将当前位置向前或向后移动指定的代码单元数，分别取决于 delta 正或负的符号,move index
返回用于设置此SQLXML实例指定的XML值的Result。,setResult
猜测 chars 数组是否在 rtl 方向,is rtl
将此函数应用于给定的参数。,applyAsInt
激活与激活标识符关联的对象， id 。,activate
将网络消息发布到纠缠端口,post message
读取4页16字节,read pages
返回此路由类别的正确本地化/配置相关名称,get name
返回所请求单位的值。,get
设置卡片阴影上边缘和父视图之间的附加边距,set card margin top
停止在应用程序小部件上接收更改后的应用程序小部件调用,stop listening
返回给定合成器上下文的图标宽度。,getIconWidth
设置此缓冲区的限制。,limit
从滑块中移除变更监听器,removeChangeListener
将此 RowSet对象命令中的指定参数设置为给定的 byte值的Java数组。,setBytes
获取与目标 Activity 共享的流项目的 uri,get stream
调整指定的时间对象以具有此年 - 月。,adjustInto
返回向用户显示此内容推荐时要在 ui 中使用的强调色值,get color
修改此集合以包含具有给定属性的给定值的代码点,apply property alias
已过时。,getValue
设置 gl 包装器,set glw rapper
表示应用程序已完成使用变送器，并且可能会释放或提供所需的有限资源。,close
相当于调用show next,show next
从全角详细信息概述行演示器调用以设置全角详细信息概述行演示器和全角详细信息概述行演示器。托管徽标的视图持有者,set context
创建一个套接字并将其连接到指定远程端口上的指定远程地址。警告：此方法不执行主机名验证,create socket
判断此短缓冲区是否是直接缓冲区。,isDirect
返回自设备启动以来通过移动网络接收的数据包数量,get mobile rx packets
返回当前选择的项目数,get checked item count
返回当前JVM配置是否支持重新定义类。,isRedefineClassesSupported
通过文本查找可访问性节点信息,find accessibility node infos by text
类似于获取内容提供商客户端 uri ，但在您不信任目标内容提供商的稳定性时使用,acquire unstable content provider client
ICC配置文件标记签名：'chrm'。,icSigChromaticityTag
从输入流中读取下一个字节的数据,read
设置一个侦听器以在选择列表项时接收事件,set on item selected listener
删除之前安装的预绘制回调,remove on pre draw listener
如果编解码器仅支持离散值，则返回支持的采样率数组,get supported sample rates
将指定参数设置为给定的Java String值。,setString
返回搜索视图的当前图标化状态,is iconified
创建一个新的 SocketImpl实例。,createSocketImpl
通知按钮操作已更改并更新其 ui,notify button action changed
这个动画应该持续多长时间,get duration
获取此节点是否注重可访问性,is accessibility focused
从此交互中删除元素和窗口引用,reset
抽屉layout.drawer监听回调方法,on drawer state changed
如果可能，添加给定的订阅者。,subscribe
请参阅内容提供商.query,query
设置节点的活动区域模式,set live region
返回一个匹配器，该匹配器与作为所提供类的实例或子类的视图相匹配,is assignable from
返回小于或等于给定键的最大键，如果没有这样的键，则 null 。,floorKey
"从最后一个点添加二次贝塞尔曲线，接近控制点 x1 , y1 ，并结束于 x2 , y2",quad to
检查另一个范围是否在此范围内,contains
允许应用程序查询某个服务当前是否是处理卡模拟类别的默认服务,is default service for category
确定指定的代码点是否是字母,is letter
为指定图层设置显式大小,set layer size
打开给定套接字上的服务器名称指示 sni,set hostname
定义项目触摸助手将计算指针移动的最大速度,get swipe velocity threshold
获取当前缩放值,get zoom
获取用于提供的上下文对象的应用程序小部件管理器实例,get instance
将 src 中的字段复制到此绘图中,set
在屏幕上显示控制器,show
返回用户或与调用用户关联的托管配置文件的创建时间,get user creation time
设置在调整大小期间在标题下方绘制的可绘制对象,set resizing caption drawable
导致指定区域在下一个动画时间步（通常是下一个显示帧）发生无效,post invalidate on animation
返回颜色 int 的绿色分量,green
如果此属性集包含给定的属性值，则返回 true 。,containsValue
返回一个字符串，表示指定键码的符号名称，例如“ keycode a ”、“ keycode dpad up ”，或等效的数字常量，例如“ 1001 ”（如果未知）,key code to string
解锁wifi多播，恢复未专门发送到该设备的数据包过滤器并节省电量,release
返回一个包含此集合中所有元素的数组,to array
获取第二个事件参数,get parameter 2
根据传入请求创建连接,on create incoming connection
允许应用程序解析外部实体。,resolveEntity
通知布局文档时发生错误,on layout failed
扫描无法启动时的回调,on scan failed
