Functional Description,Method Name
当适配器与远程视图服务断开连接时回调,on remote adapter disconnected
设置自动完成下拉列表的当前宽度,set drop down width
创建并返回一个无父组件的新JDialog，并指定标题,createDialog
查询网络使用情况统计摘要,query summary
返回此菜单项所属的组标识符,get group id
设置对请求的属性进行动画处理的基础动画制作器的持续时间,set duration
返回包含零元素的不可修改列表。,of
构造一个新的 by 选择器并设置焦点标准,focused
覆盖以处理播放由 uri 表示的特定媒体项目的请求,on play from uri
启用或禁用按钮。,setEnabled
检索最后计算的 y 速度,get yv elocity
使用 get 系统服务类返回的布局膨胀器进行膨胀时使用的 on create view view 、 string 、 context 、 attribute set 的标准实现,on create view
报告从连接接收到的呼叫会话事件。与远程连接关联的视频提供程序,on call session event
检查指定标签的日志是否可在指定级别记录,is loggable
返回与此上下文关联的主题对象,get theme
创建一个新的int缓冲区，其内容是此缓冲区内容的共享子序列。,slice
返回用作弹出窗口背景的可绘制对象,get background
返回所提供的区域设置键的显示名称,key display name
发送邀请请求以发起新呼叫时调用,on calling
此方法已被弃用。不应使用粘性广播。它们不提供任何人都可以访问它们的安全性，不提供任何人都可以修改它们的保护，以及许多其他问题。推荐的模式是使用非粘性广播来报告某些内容已发生更改，并使用另一种机制让应用程序在需要时检索当前值。,send sticky ordered broadcast as user
返回当前进程的单个全局应用程序对象的上下文,get application context
将由控制器的片段管理器管理的所有片段移至恢复状态,dispatch resume
返回作为初始选项显示给用户的输入值,getInitialSelectionValue
设置 arg 货币参数,set currency
从 android 返回活动的名称：清单中的名称,get name
使用指定的协议创建新的 URLStreamHandler实例。,createURLStreamHandler
对进度背景应用色调（如果存在）,set progress background tint list
返回滚动条的值,getValue
将指示器的相对绘图边界设置为最小值，组指示器受此影响；如果子指示器边界设置为继承，则子指示器会受此影响,set indicator bounds relative
返回一个 Normalizer2 实例，如果 data = null ，则使用指定的数据文件 icu 数据文件，否则返回自定义二进制数据，并根据指定的模式组合或分解文本,get instance
获取此 Web 视图是否有转发历史记录项,can go forward
返回用于文本输入的编辑文本,get edit text
从流中读取SQL REF值并将其作为Java编程语言中的 Ref对象返回。,readRef
相机的手电筒模式已启用或禁用，并且可以通过设置手电筒模式字符串、布尔值进行更改,on torch mode changed
重置插值器以具有指定数量的值和关键帧,reset
如果您使用完缓冲区，请使用此调用来更新其表面时间戳并将其返回到编解码器以将其渲染在输出表面上,release output buffer
chpr2 执行对称秩 2 运算 a := alphaxyh + alphayxh + a 详细信息：注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的一维分配，以下子例程可以是一个示例如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',chpr 2
返回此包的简单名称。,getSimpleName
获取指定字段的有效值范围。,range
解码整个图像,decode image
在添加，删除首选项或更改其值时调用此方法。,preferenceChange
将可绘制对象设置为该图像视图的内容,set image drawable
相当于按码点偏移char序列、int、int方法，方便起见,offset by code points
此方法已被弃用。使用构建代替,get notification
添加新属性。,setAttribute
读入一个字节数组。,read
如果光标指向字符数据事件，则返回true,isCharacters
确定指定的代码点是否应被视为 java 标识符中的可忽略字符,is identifier ignorable
设置 arg 文本参数，即要合成的文本,set text
指示是否最初检查此操作,checked
当先前创建的视图 on create view layout inflater 、 view group 、 bundle 已从片段中分离时调用,on destroy view
返回用户在此片段中可能采取的按钮引导操作的列表,get button actions
返回此特征的描述符列表,get descriptors
覆盖日历以正确处理闰月,add
在访问目录中的条目之前为目录调用。,preVisitDirectory
当服务开始为此请求合成音频时，应该调用它,start
获取给定键的计时器计数,get timer count
如有必要创建视口，然后设置其视图,setViewportView
将地址的邮政编码设置为给定的字符串，该字符串可能为空,set postal code
返回当前连接的 USB 配件的列表,get accessory list
表示此类型不支持 WHERE搜索子句。,typePredNone
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，则返回默认值,get boolean
覆盖以构建您自己的自定义对话框容器,on create dialog
除了在屏幕上显示预览帧之外，还安装要为每个预览帧调用的回调,set preview callback
获取Web视图是否支持缩放,support zoom
对部分服务 uuid 设置过滤器,set service uuid
检查活页夹所在的进程是否仍然存在。请注意，如果您正在调用本地活页夹，则该值始终返回 true，因为如果您正在调用它，您的进程就处于活动状态。,is binder alive
返回表示此内容的 uri 或 null,get media uri
视图通过枢轴点绕垂直轴旋转的度数,get rotation y
此方法已被弃用。不要调用原始选项卡主机设置，您必须调用设置上下文，片段管理器或设置上下文，片段管理器，int,setup
将此分配的一维区域复制到数组中,copy 1 dr ange to unchecked
设置此项目在存在操作栏时应如何显示,set show as action flags
获取此配置统计数据表示的时间范围的开始，以纪元以来的毫秒为单位测量,get first time stamp
获取日历日期的文本外观,get date text appearance
获取给定标签的 iso dep 实例,get
检查给定抽屉视图的锁定模式,get drawer lock mode
创建一个日期格式对象，可用于格式化 cal 指定的日历系统中的日期和时间,get pattern instance
视图可以被废弃并再次回收,stop ignoring view
当指定的音频会话上发生指定的同步事件时，从音频记录实例开始录制,start recording
返回此 ZonedDateTime的副本，并截断时间。,truncatedTo
通知呼叫者该合成器是否能够从指定的音库加载乐器。,isSoundbankSupported
将颜色从 cie xyz 转换为 cie 实验室表示,xyzt o lab
返回此带注释的类型表示的基础类型。,getType
设置密钥尚未生效之前的时间点,set key validity start
返回一个匹配器，该匹配器匹配至少一个具有给定 id 的元素的文档,has element with id
让控制器的片段管理器管理的所有片段都知道活动的画中画模式已更改,dispatch picture in picture mode changed
删除可以在节点上执行的操作,remove action
参见 mkdir2,mkdir
设置本次会议的当前进度,set staging progress
该常量表示列值的可空性未知。,columnNullableUnknown
将此运算符应用于给定的操作数。,applyAsInt
从第一个默认银行返回请求的数据数组元素作为一个整数,getElem
此定位器指向的列号，如果没有可用的列号， -1 。,getColumnNumber
该目标的最小亮度值,get minimum lightness
返回此树节点中可用的可访问动作数量,getAccessibleActionCount
控制当gl表面视图暂停和恢复时是否保留egl上下文,set preserve eglc ontext on pause
从底层实现获取功能/属性的值,getProperty
设置音频数据缓冲区从音轨传输到框架的模式,set transfer mode
返回用于百分比、千分率等的乘数,get multiplier
返回此片段当前关联的上下文,get context
将自使用 editmetadataboolean 创建元数据编辑器实例以来或自调用clear以来已设置的所有元数据与远程控制客户端相关联,apply
布局管理器可以调用此方法来强制回收器视图在下一个布局过程中运行简单的动画，即使没有任何触发器这样做,request simple animations in next layout
将驱动程序等待语句执行的最长时间设置为给定的秒数。,setQueryTimeout
将指定的项添加到数组末尾,add all
使用通用消息按顺序 string 、 iterable 、 object... 断言内容的变体,assert contents in order
返回任何生成的 source和 class文件应符合的源版本。,getSourceVersion
返回 ISO 3166 中定义的所有 2 字母国家/地区代码的列表,get isoc ountries
向输出流添加事件添加START_ELEMENT将打开一个新的命名空间范围，该范围将在写入相应的END_ELEMENT时关闭。,add
返回由此日期表示的月份长度，由日历系统定义。,lengthOfMonth
将迭代器重置为迭代的开始处,reset
JList的实例。,listBox
设置通道索引掩码,set channel index mask
设置最小和最大预览 fps,set preview fps range
返回用于表示模式中有效数字的字符,get significant digit
重写以查明窗口请求的系统 ui 可见性何时发生更改，即获取窗口系统 ui 可见性返回的值。,on window system ui visibility changed
检索输入连接编辑器中的当前文本，并监视对其进行的任何更改,get extracted text
将媒体播放器重置为未初始化状态,reset
消灭这个 Object 。,destroy
将一个可分割的值插入到该包的映射中，替换给定键的任何现有值,put parcelable
返回已配置为显示指定值的组件。,getListCellRendererComponent
报告当前缩略图读取操作即将开始逐步传递。,thumbnailPassStarted
在每个动画回调中停止运行平滑滚动条,stop
返回此类型变量的名称，因为它出现在源代码中。,getName
设置应显示在标题列表底部的页脚,set list footer
快速检查应用程序是否能够执行操作,check op
从输入流中读取 len个字节。,readFully
返回此排序焦点遍历策略是否隐式向下传递焦点,getImplicitDownCycleTraversal
返回一个视图断言，该断言可分配给文本视图或图像视图的后代对象不会相互重叠,no overlaps
返回该对象是否可聚焦,is focusable
检查边距是否是相对的,is margin relative
以双精度形式返回请求列的值,get double
设置源视图的 id 的完全限定资源名称,set view id resource name
返回用于查找转换中心的回调,get epicenter callback
返回此年月的副本，并将指定的字段设置为新值。,with
将float数组包装到缓冲区中。,wrap
取消安排与给定可绘制对象关联的任何事件,unschedule drawable
返回先前调用执行或检查的结果,get
设置在空闲状态下应保留在视图层次结构中当前页面任一侧的页面数,set offscreen page limit
确定是否为指定的加密基元授予密钥权限。,permits
开始打印作业,start
将默认故障处理程序更改为给定的处理程序,set failure handler
表示不知道函数是返回结果还是表。,functionResultUnknown
返回此日志条目的标记，该标记指定条目的语义,get tag
在特定索引处添加项目。,insertElementAt
将音频数据写入音频接收器用于播放流模式，或复制音频数据用于稍后播放静态缓冲模式,write
返回此加载器是否已被放弃,is abandoned
"方便替换 length , length , text , start , end",append
设置此选项卡条是否应以当前选项卡指示器颜色绘制全角下划线,set draw full underline
释放与该位图关联的本机对象，并清除对像素数据的引用,recycle
从此属性集中删除此类别的任何属性（如果存在）。,remove
指示此布局中包含的小部件是否在其基线上对齐,is baseline aligned
将活动内容设置为显式视图,set content view
返回该特征的存储值,get int value
设置将在列表中每个子项附近绘制的可绘制对象,set child divider
打开或关闭全向模式。,setOmni
ssymv 执行矩阵-向量运算 y := alpha ax + betay 详细信息：,ssymv
设置设备名称过滤器,set device name
将自定义操作的 id 和 args 发送回媒体会话以执行,send custom action
获取循环 int 数组的最后一个整数,get last
该常量表示参数的模式未知。,parameterModeUnknown
将可包裹物体压平成包裹,write typed object
将导航栏的颜色设置为,set navigation bar color
用于创建会话用户界面的挂钩,on create content view
将给定模式应用于此格式对象,apply localized pattern
将指定参数设置为给定的Java String值。,setString
获取当前绑定的对象,get item
在此区域和指定的矩形上执行指定的操作,op
当此视图展开为操作视图时调用,on action view expanded
获取与此对象关联的可访问选择（如果存在）,createDefaultDataModel
开始拖放操作,start drag and drop
将指定对象与此条目进行比较以获得相等性。,equals
返回在模式流模式下创建音轨对象所需的估计最小缓冲区大小,get min buffer size
安装自定义egl上下文工厂,set eglc ontext factory
删除 gnss 状态侦听器,unregister gnss status callback
dtpsv 求解方程组 ax = b 或 atx = b 详细信息：注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的一维分配，以下子程序可以是一个示例，显示如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',dtpsv
以 long 形式返回指定数字的值,long value
获取轴 ID,get axis
获取选择器中媒体控制类别的列表,get control categories
将下一个属性作为Java int写入流中。,writeInt
如果在适当版本的平台上运行，请调用设置用户可见的hintboolean,set user visible hint
添加一个侦听器，当此应用栏布局的偏移量发生变化时将调用该侦听器,add on offset changed listener
如果单元格正在被编辑，则返回true,isEditing
断言给定的匹配器与被测应用程序发送的一个且仅一个意图匹配,intended
将记录名称和数据添加到索引,add record
返回支持此缓冲区的字节数组 （可选操作） 。,array
返回与调用用户对应的用户root首选项节点。,userRoot
返回最新布局过程中数据集给定位置中项目的视图持有者,find view holder for layout position
设置显示对话框时显示的提示,set prompt
如果消息是电子邮件，则返回 true,is email
返回一个组合谓词，表示此谓词与另一个谓词的短路逻辑OR。,or
如果此评级与指定评级具有相同的主评级并且此评级的子评级包含其他评级，则返回 true,contains
检查是否应绘制边框,isBorderPainted
使用此方法获取某种类型的可用动态传感器的列表,get dynamic sensor list
报告捆绑包是否包含任何打包文件描述符,has file descriptors
获取文档是否倾向于缩放打印,should scale for printing
注册事件发生时要调用的回调,set on event listener
返回提供程序类型。,type
在给定视图持有者上启动更改动画时调用,on change starting
引脚距离 0 <= distance <= get length ，然后计算对应的矩阵,get matrix
报告读取已通过阅读器的 abort方法中止。,readAborted
参见 mmap2,mmap
返回当前动画分数，这是动画最近帧更新中使用的经过/插值分数,get animated fraction
删除所有收到滚动状态或位置变化通知的辅助侦听器,clear on scroll listeners
返回对此内容提供程序进行读/写访问所需的权限名称,get write permission
解析字符串,parse
返回指定索引处的值,getValue
设置一个侦听器，以便在该操作提供程序的覆盖可见性发生更改时收到通知,set visibility listener
确定此远程连接的音频模式是否为 voip,is voip audio mode
当之前绑定的客户端不再与输入法关联时调用,on unbind input
返回此类的字符串表示形式，不带类名作为前缀,to short string
仅当两个项目都允许时，才会在项目之间绘制分隔线；如果该项目允许，则在第一个项目上方和最后一个项目下方绘制分隔线,set divider allowed above
返回类型,get type
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，或者 null 值与该 key 显式关联，则返回 null,get sparse parcelable array
获取用于在进度模式下绘制进度条的drawable,get progress drawable
ICC配置文件颜色空间类型签名：'8CLR'。,icSigSpace8CLR
获取所有可用的单位类型,get available types
当用户单击首选项屏幕项目以导航到新的首选项屏幕时调用,on preference start screen
获取路由的媒体控制意图过滤器,get control filters
当回收器视图的子级不希望回收器视图及其祖先通过拦截触摸事件运动事件来拦截触摸事件时调用,on request disallow intercept touch event
设置结束扩展标题边距（以像素为单位）,set expanded title margin end
不推荐使用，要删除：此API元素将在以后的版本中删除。,entries
当指定的连接应与电话会议分离时调用,on separate
常量表示参数的模式为OUT。,parameterModeOut
设置负责渲染指定选项卡标题的组件,setTabComponentAt
设置该节点来自的包,set package name
测试名称是否为此 NameList一部分。,contains
"方便集合选择 spannable , int",set selection
强制立即创建对话框,create
将指定参数设置为给定的Java boolean值。,setBoolean
将指定参数设置为给定的Java short值。,setShort
返回发起请求的应用程序的uid,get calling uid
返回此视图的顶部填充,get padding top
从首选项中检索所有值,get all
返回一个弹簧，其最小值、首选值、最大值和值属性都是参数弹簧s的属性的倍数,scale
制作此 CertSelector的副本。,clone
引脚到 0 的距离 < = distance < = get length ，然后计算对应的位置和切线,get pos tan
仅当两个项目都允许时，才会在项目之间绘制分隔线；如果该项目允许，则在第一个项目上方和最后一个项目下方绘制分隔线,is divider allowed above
获取信噪比,get evdo snr
如果可以选择列，则返回true。,getColumnSelectionAllowed
将 len字符 str （从字符 offset开始）写入此 Clob表示的 CLOB值。,setString
当配对方法为配对变体引脚需要蓝牙管理时，在配对期间设置引脚,set pin
将调用此方法将子项添加到正在构建的Sharding Key对象中。,subkey
设置日期时间间隔模式,set date interval info
将字符串数组值插入到该包的映射中，替换给定键的任何现有值,put string array
测试DOM实现是否实现特定功能和版本，如 DOM Features中所述 。,hasFeature
从此稀疏布尔数组中删除所有键值映射,clear
注销之前的回调,unregister on shared preference change listener
设置标题是否应显示在自定义选项卡中,set show title
将指定参数设置为给定的 java.sql.SQLXML对象。,setSQLXML
设置描述文本,set description
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，则返回默认值,get float
推出多项新活动,start activities
该方法开始异步插入,start insert
如果弹出窗口可见（当前正在显示），则返回true。,isVisible
得到一个提示，表明此操作将直接启动一个活动，告诉平台它可以生成适当的转换。,get hint launches activity
通过注册内容观察者取消注册先前已使用此游标注册的观察者 内容观察者,unregister content observer
设置将从该布局记录诊断的打印机,set printer
指定创建连接时使用的 shardingKey,shardingKey
该视图相对于其父视图的左侧位置,get left
获取媒体路由选择器，用于过滤要发现的路由,get route selector
设置模型的范围。,setExtent
返回该设备提供的 gatt 服务列表,get services
设置图片的尺寸,set picture size
设置文本方向启发式,set text direction
更改与此项目相关的压缩标题,set title condensed
返回与此电视输入相关的域特定附加内容,get extras
在指定的时间过后，使可运行对象在下一个动画时间步执行,post on animation delayed
返回 true 如果,is pre layout
返回 z 维度的值，对于 1d 或 2d 分配返回 0,get z
生成适合在 set idint 中使用的值,generate view id
当用户请求协助时调用此方法，以使用当前应用程序的所有上下文构建完整的操作协助意图,on provide assist data
由管理设备的应用程序调用，以设置密码中所需的最小小写字母数,set password minimum lower case
返回 直接出现在此构造上的注释。,getAnnotationMirrors
获取内容图标在通知显示中应具有的重力,get content icon gravity
相当于调用image view.set image uri,set image view uri
指示在滚动期间是否使用子级绘图缓存。,is scrolling cache enabled
将当前编辑的值推送到微调器模型中,commitEdit
返回由此类管理的首选项层次结构的根,get preference screen
构造一个适合在一组 select 语句中使用的 select 语句，这些 select 语句将在构建联合查询中通过联合运算符连接,build query
从模型中删除 ActionListener 。,removeActionListener
一个实用程序函数，用于检查此事件是否为ProcessingInstruction。,isProcessingInstruction
当此演示者创建的视图已附加到窗口时调用,on view attached to window
以字符串表示形式返回此输入配置,to string
向connection.video 提供商发出请求以检索相机功能,on request camera capabilities
获取一个值并将其转换为布尔值,get as boolean
添加支持的介质尺寸,add media size
指示此侦听器附加到的包文件描述符的事件已关闭,on close
返回构造函数，方法或初始值设定项的简单名称。,getSimpleName
获取此工具栏的结束内容插图,get content inset end
辅助功能事件的回调,on accessibility event
检索但不删除此双端队列的第一个元素。,getFirst
所选按钮的颜色。,selectColor
当子视图从父视图中移除时调用,on child view removed
返回每个设计轴的名称,getDesignAxisNames
向编辑器停止时通知的列表添加侦听器，或取消编辑。,addCellEditorListener
负责将传入的轨迹球事件分派到服务上的适当回调，并在完成时通知客户端,dispatch trackball event
设置动态生成 ndef 消息以使用 android beam tm 发送的回调,set ndef push message callback
已过时。,activate
返回至少一个与选择器匹配的元素时满足的搜索条件,has object
将下一个属性作为未解释字节流写入流中。,writeBinaryStream
检查锁定屏幕是否显示,is locked
此方法返回一个视图属性动画器对象，该对象可用于为该视图上的特定属性设置动画,animate
对可绘制图像应用色调,set image tint list
设置父阅读器。,setParent
返回支持此缓冲区的short数组 （可选操作） 。,array
如果此队列包含指定的元素，则返回 true 。,contains
加载该电视输入的用户显示图标,load icon
返回该集合中给定字符的索引，其中该集合按升序代码点排序,index of
使用特定格式化程序从文本字符串中获取 MonthDay的实例。,parse
返回设备的唯一整数 ID,get device id
将画布的新内容发布到表面并释放画布,unlock canvas and post
将此会议的所有远程连接合并为一个呼叫,merge
检查是否支持指定的字段。,isSupported
返回给定数字键码和一组修饰符的键击的共享实例,getKeyStroke
设置标题边距,set title margin
检索音高因子,get pitch
获取主顶级页面的 ssl 证书，如果没有证书则为 null，则表明站点不安全,get certificate
以Java编程语言中 long检索指定的JDBC BIGINT参数的值。,getLong
将指定参数设置为 Reader对象。,setNCharacterStream
如果获取文本非空，则这是当前选择的开始位置,get text selection start
执行与此范围关联的单击操作,on click
评级已更改的通知,on rating changed
返回样式,get format style
允许您设置日期/时间格式化数据,set date format symbols
将当前实体下的一大块数据写入备份传输,write entity data
使孩子朝这个方向偏移,offset child
测试给定模式是否是符号链接,si slnk
如果指定的索引在行和列的有效范围内，并且指定位置的单元格被选中，则返回true,isCellSelected
包含真实UI的向量。,uis
平滑滚动到指定的适配器位置偏移,smooth scroll by offset
当驱动程序检测到 PreparedStatement无效时，会在连接上注册的所有 StatementEventListener上调用此方法。,statementErrorOccurred
当点击发生并触发它的向下运动事件时收到通知,on down
通知主机应用程序应该下载文件,on download start
获得一个读取器，用于从该doc中提取字符打印数据。,getReaderForText
默认实现从缓冲区中当前光标位置返回给定数量的文本,get text after cursor
当子视图现在具有或不再跟踪瞬态时调用,child has transient state changed
获取此循环程序的消息队列,get queue
此方法将使视图的 alpha 属性动画化为指定值,alpha
返回此弹簧的当前值,getValue
在给定位置插入一个指定动作对象的菜单项,insert
设置货币小数点分隔符,set monetary grouping separator
以 java.sql.Date对象的形式检索JDBC DATE参数的值。,getDate
创建服务发现请求,new instance
如上所述在 LSSerializer接口的一般描述中序列化指定的节点。,write
返回回调捕获方法的最大捕获率,get max capture rate
获取此评级栏的步长,get step size
当绑定为 null 时，可以选择将视图可见性设置为消失,set null item visibility gone
覆盖此设置以在单击子项时接收回调,on child click
设置根窗格的层叠窗格,setLayeredPane
设置 sans - serif 字体系列名称,set sans serif font family
使用指定的平移预连接矩阵,pre translate
将矩阵 m 设置为单位矩阵,set identity m
将此函数应用于给定的参数。,applyAsLong
负责预泡芙平台的回拨,on key down
当动作模式即将退出并销毁时调用,on destroy action mode
根据指定的区域设置返回字体的字体面名称,getFontName
隐藏视图,unselect
返回一个新的回收器 view.item animator.itemholder 信息，它将用于存储有关视图持有者的信息,obtain holder info
当此可扩展列表中的组已展开时要调用的回调方法,on group expand
设置行距参数,set line spacing
返回附件的 uri,get uri
当此调用的子级发生更改时调用,on children changed
获取存储id事件参数,get storage id
获取效果描述符,get descriptor
设置矩阵将rgb转换为yuv,set rgb 2 yuv
恢复过程已完成,restore finished
卸载缓存并释放所有活动资源,close
此细粒度通知告诉侦听器更改的单元格，行或列的确切范围。,tableChanged
截取当前窗口的屏幕截图并将其存储为 png 屏幕截图会根据屏幕旋转进行调整,take screenshot
将下一个属性作为ASCII字符流写入流中。,writeAsciiStream
如果按键事件涉及调度程序当前正在跟踪的按键代码，则返回 true,is tracking
描述子视图的定位方式,get gravity
判断此缓冲区是否由可访问的数组支持。,hasArray
返回设置软输入模式下的当前值int,get soft input mode
clean调用从'id'中指示的每个远程对象的引用列表中删除'vmid'。,clean
在回收器视图本身或其子视图处理发送到回收器视图的触摸事件之前，默默地观察和/或接管这些事件,on intercept touch event
表示该函数返回一个表。,functionReturnsTable
返回滚动时的增量,getScrollableUnitIncrement
检索 smap 给定的进程使用的 pss 内存,get pss
此通知的内容视图中显示的大图标,get large icon
返回当前位置和限制之间的元素数。,remaining
返回给定用户是否正在运行,is user running
将访问者应用于此元素。,accept
将由控制器的片段管理器管理的所有片段移至活动创建状态,dispatch activity created
指示远程设备何时连接或断开连接的回调,on connection state change
返回给定索引处的 USB 接口,get interface
从树中删除节点后调用。,treeNodesRemoved
从流中读取SQL NCLOB值并将其作为Java编程语言中的 NClob对象返回。,readNClob
发送请求以将媒体项排入队列,enqueue
返回此集合中当前的最后一个（最高）元素。,last
如果可以在不违反容量限制的情况下立即插入指定元素，则在此双端队列的末尾插入指定元素，如果当前没有可用空间，则抛出 IllegalStateException 。,addLast
报告与恢复流中当前实体关联的数据大小（以字节为单位）,get data size
给定会话的进度已更新,on progress changed
返回始终返回其输入参数的一元运算符。,identity
获取Web图标数据库的全局实例,get instance
决定是否应选择 CRL 。,match
如果偏移处的字符是从右到左 rtl，则返回 true,is rtl char at
调用此操作提供程序支持的菜单项准备关联的子菜单,on prepare sub menu
返回用作该视图前景的可绘制对象,get foreground
当项目视图与此回收器视图分离时调用,on child detached from window
返回指定区域设置的货币格式,get currency instance
创建一个通过重力关闭抽屉布局的动作,close
从内存文件中读取字节,read bytes
返回指定线的基线的垂直位置,get line baseline
拖动鼠标离开菜单组件的显示区域时调用。,menuDragMouseExited
此方法已被弃用。目标海拔现已弃用。应用栏布局的高度现在通过状态列表动画师控制。如果通过此方法或应用程序：海拔属性设置了目标海拔，则会创建一个使用给定海拔值的新状态列表动画制作器,set target elevation
删除之前使用添加权限权限信息添加的权限,remove permission
使所有绑定表达式无效并请求新的重新绑定以刷新 ui,invalidate all
获取年表的时代列表。,eras
添加一个新的意图数据权威来匹配,add data authority
预热浏览器进程,warmup
与高替代值相同,is high surrogate
查询通道掩码和虚拟化模式组合的虚拟扬声器角度、方位角和仰角,get speaker angles
从 tableColumns数组中删除 TableColumn column 。,removeColumn
将轨迹球运动事件传递到聚焦视图,dispatch trackball event
关闭此手表服务。,close
返回表示此谓词的逻辑否定的谓词。,negate
设置输出视频播放的方向提示,set orientation hint
桶时间间隔的结束时间戳,get end time stamp
返回两个子项之间的垂直边距（以像素为单位）,get vertical margin
设置白平衡,set white balance
返回所有共享/外部存储设备上应用程序特定目录的绝对路径，应用程序可以在其中放置其拥有的持久文件,get external files dirs
停止捕获预览帧并将其绘制到表面，并重置相机以供将来调用以开始预览,stop preview
如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。,getAnnotatedOwnerType
返回所需区域设置的整理器,get instance
使用运行应用程序的虚拟机的默认时区将指定参数设置为给定的 java.sql.Date值。,setDate
启动方法跟踪，指定跟踪日志文件名、缓冲区大小和标志,start method tracing
设置窗口内容是否应剪切到窗口背景的轮廓,set clip to outline
返回卡片信息区域的可见性,get info visibility
每当播放状态发生变化时调用，并且播放位置和速度已知,on client playback state update
获取指定行和列索引处字段的双精度值,get double
设置实现标题视图适配器的视图,set title view
返回给定从零开始的列索引处的列名,get column name
返回实现此壁纸的服务的组件,get component
当使用集合时，例如,set on click fill in intent
此方法已被弃用。使用 set Primary item view group 、 int 、 object,set primary item
在指定的上下文中计算已编译的XPath表达式，并返回具有通过 class type指定的类型的结果,evaluateExpression
判断前缀是否包含指定地址,contains
将此通知设置为共享相同密钥的一组通知的一部分,set group
安排调用 on Draw 来绘制下一帧,invalidate
返回此文件对象的Writer。,openWriter
如果没有指定的字符，则返回从右到左的镜像或原始字符,get mirror
如果指定位置是边界位置，则返回 true,is boundary
返回 ScriptEngine的全名。,getEngineName
返回被命中字符的索引,beforeOffset
实现此功能以支持您的规范化，即引用您的内容提供商,canonicalize
返回由当前游标到字符串转换器定义的指定游标的字符序列表示形式,convert to string
测试此路径是否以 Path ，通过转换给定的路径字符串构造，完全按照 startsWith(Path)方法指定的方式。,startsWith
返回表示此谓词的逻辑否定的谓词。,negate
根据需要配置生成器后调用此方法,build
如果保留此网格的子级的前景，则返回 true，前景将不会用于覆盖颜色,get keep child foreground
画一系列线,draw lines
创建一个新的 ConnectionBuilder实例,createConnectionBuilder
返回该文档的 mime 类型,get type
等效于 readUnsignedShort ，但使用 char数据类型返回结果除外。,readChar
设置淡出动画的持续时间,set dot fade out duration
为数字api提供java.lang.character，方便使用,for digit
获取分配的使用标志,get usage
将这个大十进制转换为字节,byte value exact
检索设备的产品名称,get product name
如果指定的属性值尚不存在，则将其添加到此属性集中，首先删除与指定属性值相同的属性类别中的任何现有值（可选操作）。,add
对每个剩余元素执行给定操作，直到处理完所有元素或操作引发异常。,forEachRemaining
设置与此视图关联的变换矩阵，根据 view.get 矩阵，如果没有则为 null,set transformation
返回用户定义属性值的大小。,size
提供自定义远程视图来代替平台模板,set custom content view
返回首先将此运算符应用于其输入的 after运算符，然后将 after运算符应用于结果。,andThen
返回此注释处理器支持的最新源版本。,getSupportedSourceVersion
返回RenderedImage的最小Y坐标（包括）。,getMinY
返回与该视图和指定键关联的标签,get tag
ICC配置文件常量：XYZNumber X.,icXYZNumberX
指示网络连接是否存在或正在建立,is connected or connecting
断言数组实际大小相同，并且每个元素都等于预期数组中的元素,assert equals
返回该设备包含的 USB 接口的数量,get interface count
被调用以通知客户端该作业已被用户或程序取消。,printJobCanceled
检索此 DataSource对象的日志 DataSource 。,getLogWriter
调用此 Web 视图的图形缩放选择器小部件,invoke zoom picker
dtbmv 执行矩阵向量运算之一 x := ax 或 x := atx 详细信息：注意：对于 nn 矩阵，输入分配的大小也应为 nn dimy = n 、 dimx = n ，但仅限区域 nk+ 1 将被引用,dtbmv
返回反馈类型的字符串表示形式,feedback type to string
返回当前文档事件的公共标识符。,getPublicId
返回地址的行政区域名称，例如“ca”，如果未知则返回 null。,get admin area
返回设备的协议字段,get device protocol
返回集合中所有值的迭代器,iterator
将操作栏设置为自定义导航模式，提供自定义导航的视图,set custom view
创建具有正确大小和波段数的零化目标图像,createCompatibleDestImage
清除定位列表项的布局管理器的状态,reset layout manager
返回给定扇区的第一个块,sector to block
返回椭圆短轴的长度，该椭圆描述给定指针索引的接触点处的触摸区域 使用 getpointer idint 查找该索引的指针标识符,get touch minor
设置在提供者的描述符更改时调用的回调,set callback
返回一个整数代码，指示光标指向的事件的类型。,getEventType
返回此RasterOp的呈现提示。,getRenderingHints
添加一个新的回调，当生命周期发生变化时将收到通知,add lifecycle callback
返回捕获大小范围,get capture size range
包含真实UI的向量。,uis
由客户端调用以打开包含特定 mime 类型数据的只读流,open typed asset file
将指定的文本片段替换为字符的从右到左镜像（如果有），如果进行了任何替换则返回 true,mirror
当应用程序请求调到给定频道进行电视节目录制时调用,on tune
通过编译来验证 sql select 语句是否有效,validate sql
尝试使用给定的用户名和密码建立物理数据库连接。,getXAConnection
沿给定轴开始可嵌套滚动操作,start nested scroll
查询给定的 uri ，返回结果集上的游标，并可选支持取消,query
